Data;IBOVESPA;IVVB11;DÓLAR;IFIX;OZ1D
08/09/2020;-1,18%;-1,61%;-0,17%;-0,08%;1,23%
04/09/2020;0,52%;-1,22%;-1,26%;0,34%;0,15%
03/09/2020;-1,17%;-4,16%;1,61%;-0,11%;-1,21%
02/09/2020;-0,25%;0,79%;-0,44%;0,29%;-2,94%
01/09/2020;2,82%;-1,04%;-1,23%;-0,27%;-0,73%
31/08/2020;-2,72%;0,95%;0,02%;0,01%;0,73%
28/08/2020;1,51%;-2,38%;-1,79%;0,14%;-1,73%
27/08/2020;0,00%;-0,38%;0,06%;0,04%;-0,80%
26/08/2020;-1,46%;2,73%;-2,28%;-0,03%;2,59%
25/08/2020;-0,18%;-0,92%;0,50%;-0,10%;-2,14%
24/08/2020;0,77%;0,14%;-0,57%;0,34%;0,13%
21/08/2020;0,05%;1,97%;0,08%;0,36%;-0,54%
20/08/2020;0,61%;0,32%;-0,20%;0,08%;2,53%
19/08/2020;-1,19%;1,00%;-0,79%;0,12%;-2,91%
18/08/2020;2,48%;-0,38%;2,92%;0,24%;0,98%
17/08/2020;-1,73%;1,67%;0,45%;-0,26%;3,09%
14/08/2020;0,89%;0,92%;0,30%;0,30%;0,66%
13/08/2020;-1,62%;-1,21%;1,20%;0,25%;0,15%
12/08/2020;-0,06%;1,85%;0,09%;-0,17%;0,30%
11/08/2020;-1,23%;-1,81%;-1,38%;-0,01%;-6,46%
10/08/2020;0,65%;0,83%;0,49%;0,48%;1,57%
07/08/2020;-1,30%;2,26%;0,65%;0,74%;-0,68%
06/08/2020;1,29%;1,35%;-0,54%;-0,30%;0,83%
05/08/2020;1,57%;0,95%;1,49%;0,23%;2,26%
04/08/2020;-1,57%;-0,45%;1,27%;0,00%;1,87%
03/08/2020;-0,08%;2,84%;-1,07%;-0,69%;2,44%
31/07/2020;-2,00%;1,59%;0,48%;-0,02%;1,86%
30/07/2020;-0,56%;-0,78%;2,00%;0,38%;-0,77%
29/07/2020;1,44%;1,66%;0,38%;0,02%;0,16%
28/07/2020;-0,35%;-0,25%;0,86%;0,00%;1,73%
27/07/2020;2,05%;-0,54%;-0,74%;-0,30%;0,79%
24/07/2020;0,09%;-0,79%;-0,22%;-0,07%;0,83%
23/07/2020;-1,91%;0,98%;-0,49%;-0,10%;2,75%
22/07/2020;-0,02%;-1,56%;0,97%;0,13%;-0,33%
21/07/2020;-0,11%;-2,35%;1,05%;0,28%;-1,29%
