Data;IBOVESPA;IVVB11;DÓLAR;IFIX;OZ1D
10/06/2019;-0,36%;0,70%;1,00%;-0,11%;0,00%
07/06/2019;0,63%;0,83%;-0,02%;0,29%;0,12%
06/06/2019;1,26%;0,36%;-0,59%;0,07%;0,12%
05/06/2019;-1,42%;1,98%;-0,32%;0,06%;0,67%
04/06/2019;0,37%;1,34%;0,57%;0,01%;-0,90%
03/06/2019;-0,01%;-1,28%;-0,40%;0,17%;1,10%
31/05/2019;-0,44%;-2,71%;0,30%;0,35%;-0,18%
30/05/2019;0,92%;0,41%;-0,26%;0,60%;1,54%
29/05/2019;0,18%;-2,27%;-0,75%;0,24%;-1,16%
28/05/2019;1,61%;-0,82%;-1,03%;0,13%;-0,67%
27/05/2019;1,32%;0,17%;-0,79%;0,06%;-0,60%
24/05/2019;-0,30%;-0,37%;-0,61%;0,28%;-0,30%
23/05/2019;-0,48%;-1,27%;-0,77%;0,02%;0,91%
22/05/2019;-0,13%;0,00%;0,16%;0,26%;-0,60%
21/05/2019;2,76%;-0,48%;-0,28%;0,23%;-1,12%
20/05/2019;2,17%;-1,60%;-0,47%;0,01%;2,36%
17/05/2019;-0,04%;1,88%;0,71%;0,02%;-1,19%
16/05/2019;-1,75%;2,14%;-1,43%;0,23%;-0,01%
15/05/2019;-0,51%;0,77%;-0,60%;0,09%;0,67%
14/05/2019;0,40%;0,89%;0,52%;0,19%;0,21%
13/05/2019;-2,69%;-1,79%;1,76%;-0,31%;1,57%
10/05/2019;-0,58%;0,21%;0,27%;-0,05%;0,00%
09/05/2019;-0,83%;0,19%;0,61%;-0,13%;0,19%
08/05/2019;1,28%;-1,07%;-0,26%;0,02%;-0,80%
07/05/2019;-0,65%;-1,01%;0,79%;-0,01%;0,32%
06/05/2019;-1,04%;-0,09%;-0,24%;-0,37%;1,24%
03/05/2019;0,50%;0,54%;0,84%;0,07%;0,50%
02/05/2019;-0,86%;-0,13%;-1,34%;-0,19%;-1,42%
30/04/2019;0,17%;-0,77%;0,65%;0,40%;1,85%
29/04/2019;-0,05%;0,91%;0,60%;0,02%;-1,52%
26/04/2019;-0,33%;-0,97%;-0,66%;0,27%;-0,18%
25/04/2019;1,59%;-0,10%;0,50%;-0,06%;-0,13%
24/04/2019;-0,92%;1,31%;0,23%;-0,04%;0,62%
23/04/2019;1,41%;0,48%;0,03%;0,09%;-0,31%
22/04/2019;0,01%;-0,02%;-0,94%;-0,03%;0,94%
18/04/2019;1,39%;0,16%;0,24%;0,22%;-0,32%
17/04/2019;-1,11%;0,80%;0,49%;0,12%;1,58%
16/04/2019;1,34%;0,91%;0,53%;-0,16%;-1,25%
15/04/2019;0,22%;-0,99%;-0,36%;0,19%;0,01%
12/04/2019;-1,98%;1,90%;0,37%;-0,14%;-0,32%
11/04/2019;-1,25%;0,94%;0,80%;0,19%;0,31%
10/04/2019;-0,35%;-0,47%;0,47%;0,00%;-1,23%
09/04/2019;-1,11%;-0,35%;0,12%;0,05%;1,94%
08/04/2019;0,27%;-0,48%;0,74%;-0,17%;-0,06%
05/04/2019;0,83%;0,88%;0,14%;-0,05%;-0,61%
04/04/2019;1,93%;-0,59%;-0,57%;-0,01%;-0,13%
03/04/2019;-0,94%;0,59%;-0,25%;0,15%;0,13%
02/04/2019;-0,70%;-0,19%;0,09%;0,03%;-0,32%
01/04/2019;0,67%;0,03%;-0,24%;-0,04%;-1,02%
29/03/2019;1,09%;1,10%;0,72%;0,26%;-2,32%
28/03/2019;2,70%;-0,85%;-0,58%;0,10%;2,28%
27/03/2019;-3,57%;1,54%;-0,05%;-0,27%;-0,86%
26/03/2019;1,76%;1,04%;-0,73%;0,28%;0,43%
25/03/2019;-0,08%;-1,22%;-1,80%;0,11%;1,88%
22/03/2019;-3,10%;0,91%;0,74%;-0,42%;-0,01%
21/03/2019;-1,34%;2,51%;1,92%;-0,05%;0,18%
20/03/2019;-1,55%;-1,58%;-0,32%;0,12%;0,10%
19/03/2019;-0,41%;-0,17%;-0,12%;-0,21%;0,03%
18/03/2019;0,86%;-0,06%;2,23%;0,10%;-0,62%
15/03/2019;0,54%;-0,41%;0,18%;0,48%;0,31%
14/03/2019;-0,30%;0,87%;0,36%;0,25%;0,00%
13/03/2019;1,10%;0,47%;-0,92%;0,01%;0,63%
12/03/2019;-0,20%;-0,41%;-0,61%;0,05%;-0,62%
11/03/2019;2,79%;0,94%;0,04%;0,14%;-0,19%
08/03/2019;1,09%;-0,25%;0,16%;0,12%;1,78%
07/03/2019;0,13%;0,27%;0,36%;0,22%;0,32%
06/03/2019;-0,41%;0,35%;-0,86%;0,30%;-0,63%
01/03/2019;-1,03%;1,09%;-0,56%;0,40%;-0,09%
28/02/2019;-1,77%;0,42%;0,50%;0,57%;-0,85%
27/02/2019;-0,30%;-0,59%;0,48%;0,47%;0,31%
26/02/2019;0,37%;0,03%;1,25%;0,23%;0,63%
25/02/2019;-0,66%;0,39%;1,20%;-0,41%;-0,78%
22/02/2019;0,98%;-0,17%;0,09%;0,17%;-0,16%
21/02/2019;0,40%;0,84%;-0,65%;-0,35%;0,19%
20/02/2019;-1,14%;0,46%;0,83%;0,21%;0,94%
19/02/2019;1,19%;-0,05%;-0,39%;-0,01%;1,55%
18/02/2019;-1,04%;0,83%;-0,44%;0,27%;-0,58%
15/02/2019;-0,50%;-0,02%;1,33%;0,12%;-0,23%
14/02/2019;2,27%;-1,06%;-0,28%;0,00%;-0,28%
13/02/2019;-0,34%;1,38%;-0,29%;0,01%;-0,32%
12/02/2019;1,86%;0,64%;0,43%;-0,09%;0,16%
11/02/2019;-0,98%;1,03%;-1,59%;0,14%;0,65%
08/02/2019;0,99%;0,22%;1,29%;0,07%;0,34%
07/02/2019;-0,24%;-0,62%;-0,05%;0,09%;1,43%
06/02/2019;-3,74%;0,72%;-0,25%;-0,23%;-0,83%
05/02/2019;-0,28%;0,75%;0,56%;-0,06%;1,18%
04/02/2019;0,74%;0,74%;-0,02%;-0,10%;-1,28%
01/02/2019;0,48%;0,36%;0,47%;-0,08%;-0,96%
31/01/2019;0,41%;-0,22%;0,76%;0,49%;-0,57%
30/01/2019;1,42%;0,63%;-0,04%;0,21%;0,90%
29/01/2019;0,20%;-1,36%;0,17%;0,52%;0,65%
28/01/2019;-2,29%;-0,30%;0,48%;-0,31%;-0,32%
24/01/2019;1,16%;0,94%;-1,70%;-0,10%;-0,32%
23/01/2019;1,53%;-0,57%;-0,59%;-0,21%;1,30%
22/01/2019;-0,94%;-0,24%;-0,81%;-0,04%;0,00%
21/01/2019;-0,09%;-0,25%;0,15%;-0,07%;0,00%
18/01/2019;0,78%;1,37%;-0,52%;0,32%;-0,32%
17/01/2019;1,01%;0,36%;-0,47%;-0,01%;1,51%
16/01/2019;0,36%;1,12%;1,01%;0,19%;0,39%
15/01/2019;-0,44%;1,18%;-0,24%;-0,07%;-0,91%
14/01/2019;0,87%;-0,20%;0,58%;-0,02%;0,66%
11/01/2019;-0,16%;-0,01%;-0,28%;0,02%;0,33%
10/01/2019;0,21%;0,74%;1,06%;-0,19%;-0,49%
09/01/2019;1,72%;0,06%;0,40%;0,10%;-1,77%
08/01/2019;0,36%;0,05%;-0,57%;0,04%;0,00%
07/01/2019;-0,15%;1,45%;0,32%;0,18%;0,12%
04/01/2019;0,30%;1,75%;0,74%;0,25%;-0,60%
03/01/2019;0,61%;-2,52%;-0,17%;0,48%;-1,55%
02/01/2019;3,56%;-2,12%;-0,74%;0,69%;0,00%
28/12/2018;2,84%;3,06%;0,39%;0,28%;0,13%
27/12/2018;0,38%;-0,85%;-1,50%;0,55%;1,22%
26/12/2018;-0,65%;-0,15%;-0,15%;0,09%;-0,54%
21/12/2018;0,50%;-0,35%;-2,36%;0,80%;0,29%
20/12/2018;-0,47%;-3,02%;-0,39%;0,06%;0,71%
19/12/2018;-1,08%;-1,23%;0,00%;0,00%;0,26%
18/12/2018;0,24%;-0,21%;-1,48%;0,20%;0,88%
17/12/2018;-1,20%;-2,47%;0,18%;0,00%;-0,06%
14/12/2018;-0,44%;-0,71%;1,06%;0,27%;0,72%
13/12/2018;0,99%;-0,07%;0,45%;0,24%;-2,46%
12/12/2018;0,65%;-0,32%;0,59%;-0,21%;0,32%
11/12/2018;0,59%;0,00%;-1,19%;0,11%;0,50%
10/12/2018;-2,50%;0,37%;-0,23%;0,00%;0,15%
07/12/2018;-0,82%;-0,64%;-0,32%;0,06%;0,65%
06/12/2018;-0,22%;-1,92%;0,08%;-0,02%;1,32%
05/12/2018;0,47%;0,99%;0,77%;0,06%;1,33%
04/12/2018;-1,33%;-2,22%;0,42%;-0,37%;-0,46%
03/12/2018;0,35%;0,46%;-0,98%;0,07%;-0,07%
30/11/2018;-0,23%;0,36%;-0,25%;0,02%;-0,07%
29/11/2018;0,51%;0,89%;0,37%;0,42%;-0,07%
28/11/2018;1,55%;1,32%;-0,55%;0,14%;-1,79%
27/11/2018;2,74%;-0,98%;1,60%;-0,04%;3,19%
26/11/2018;-0,79%;4,85%;0,65%;0,19%;0,68%
23/11/2018;-1,43%;-1,21%;0,07%;0,03%;0,00%
22/11/2018;0,24%;0,19%;-0,90%;0,15%;0,82%
21/11/2018;-0,72%;-0,60%;0,17%;-0,15%;-1,48%
19/11/2018;-0,69%;-0,71%;-0,16%;0,24%;2,48%
16/11/2018;2,96%;-0,51%;-0,76%;0,24%;-1,42%
14/11/2018;1,25%;-1,02%;0,70%;0,54%;2,15%
13/11/2018;-0,71%;0,82%;1,51%;-0,10%;-0,82%
12/11/2018;-0,14%;0,05%;-0,06%;0,08%;-1,11%
09/11/2018;0,02%;-1,49%;0,61%;0,29%;0,09%
08/11/2018;-2,39%;-0,81%;0,78%;0,03%;0,07%
07/11/2018;-1,08%;2,57%;0,07%;0,18%;0,68%
06/11/2018;-1,04%;0,55%;0,07%;-0,10%;-0,34%
05/11/2018;1,33%;1,13%;-1,05%;0,04%;0,35%
01/11/2018;1,14%;0,22%;0,35%;0,36%;0,30%
31/10/2018;0,62%;1,95%;0,84%;0,38%;-0,20%
30/10/2018;3,69%;0,82%;-0,07%;0,48%;0,59%
29/10/2018;-2,24%;1,02%;0,31%;0,14%;-0,14%
26/10/2018;1,95%;-3,01%;-0,53%;0,29%;-1,56%
25/10/2018;1,23%;0,81%;0,27%;0,30%;0,55%
24/10/2018;-2,62%;-1,73%;1,20%;0,03%;1,17%
23/10/2018;-0,35%;-0,23%;0,20%;0,26%;-1,95%
22/10/2018;1,63%;-1,02%;-0,55%;0,40%;1,99%
19/10/2018;0,44%;-0,54%;0,43%;0,17%;0,00%
18/10/2018;-2,24%;-0,27%;1,79%;-0,03%;-0,35%
17/10/2018;0,05%;-1,17%;-1,05%;0,09%;-1,36%
16/10/2018;2,83%;1,51%;-0,71%;-0,05%;0,24%
15/10/2018;0,53%;-0,02%;-0,12%;0,56%;2,90%
11/10/2018;-0,91%;-1,69%;-0,05%;0,09%;0,21%
10/10/2018;-2,80%;-2,29%;0,48%;0,08%;0,49%
09/10/2018;0,00%;-1,22%;-0,47%;0,60%;-3,73%
08/10/2018;4,57%;-2,31%;0,31%;0,30%;-2,32%
05/10/2018;-0,76%;-1,52%;-0,12%;0,52%;1,00%
04/10/2018;-0,38%;-0,55%;-0,19%;-0,18%;-0,33%
03/10/2018;2,04%;-0,99%;-0,68%;0,58%;-1,32%
02/10/2018;3,80%;-2,22%;-0,34%;0,24%;-1,30%
01/10/2018;-0,91%;0,05%;-0,13%;-0,30%;0,33%
28/09/2018;-0,82%;1,02%;0,32%;0,28%;-0,32%
27/09/2018;1,71%;-0,69%;-0,52%;-0,01%;-1,47%
26/09/2018;0,03%;-1,44%;-2,87%;-0,28%;0,84%
25/09/2018;0,83%;-0,66%;-0,89%;-0,31%;0,45%
24/09/2018;-1,84%;0,64%;1,31%;-0,01%;-1,41%
21/09/2018;1,70%;-0,71%;-2,44%;-0,03%;-1,13%
20/09/2018;-0,07%;-0,82%;-1,91%;0,04%;-0,13%
19/09/2018;-0,19%;0,13%;0,58%;0,21%;0,00%
18/09/2018;1,99%;0,90%;-0,13%;0,14%;-2,16%
17/09/2018;1,80%;-1,68%;-1,18%;0,07%;2,47%
14/09/2018;0,99%;0,16%;-1,73%;-0,25%;-0,25%
13/09/2018;-0,58%;1,14%;1,70%;0,17%;1,32%
12/09/2018;0,63%;-0,12%;-0,33%;0,35%;1,58%
11/09/2018;-2,33%;1,68%;-0,66%;-0,24%;-2,65%
10/09/2018;0,03%;-0,04%;-0,86%;-0,18%;-0,19%
06/09/2018;1,76%;-1,23%;-0,04%;0,00%;0,32%
05/09/2018;0,51%;-0,64%;-0,78%;0,03%;0,64%
04/09/2018;-1,94%;-2,18%;-0,44%;-0,01%;-0,76%
03/09/2018;-0,63%;3,83%;0,58%;-0,18%;0,13%
31/08/2018;0,36%;-1,53%;0,92%;0,15%;0,00%
30/08/2018;-2,53%;0,36%;-0,92%;0,07%;0,00%
29/08/2018;1,18%;0,46%;1,55%;-0,08%;0,51%
28/08/2018;-0,59%;1,02%;-1,09%;0,08%;1,09%
27/08/2018;2,19%;0,20%;-0,36%;0,17%;0,39%
24/08/2018;0,83%;0,20%;-0,10%;0,00%;1,24%
23/08/2018;-1,65%;1,42%;0,90%;-0,51%;1,53%
22/08/2018;2,29%;0,46%;-0,18%;-0,11%;2,41%
21/08/2018;-1,50%;2,20%;-1,10%;0,10%;0,03%
20/08/2018;0,39%;1,38%;1,11%;-0,32%;-0,07%
17/08/2018;-1,03%;0,68%;0,39%;-0,15%;-0,20%
16/08/2018;-0,34%;0,91%;1,24%;0,54%;-1,01%
15/08/2018;-1,94%;0,13%;-0,41%;-0,20%;0,00%
14/08/2018;1,43%;0,00%;0,31%;0,27%;1,36%
13/08/2018;1,28%;0,35%;-0,03%;-0,21%;0,07%
10/08/2018;-2,86%;0,61%;2,17%;-0,41%;0,27%
09/08/2018;-0,48%;1,10%;1,12%;0,00%;2,09%
08/08/2018;-1,49%;0,04%;0,10%;0,02%;0,00%
07/08/2018;-0,87%;1,25%;1,49%;-0,11%;-2,38%
06/08/2018;-0,47%;0,72%;-0,83%;0,02%;0,62%
03/08/2018;2,26%;-0,97%;0,83%;0,17%;0,00%
02/08/2018;0,42%;0,48%;-0,45%;0,08%;-0,27%
01/08/2018;0,10%;0,15%;1,34%;-0,26%;1,04%
31/07/2018;-1,31%;0,98%;1,16%;0,41%;-0,69%
30/07/2018;0,51%;0,09%;1,36%;0,04%;1,39%
27/07/2018;0,58%;-1,25%;1,08%;-0,09%;-2,34%
26/07/2018;-1,01%;0,40%;-0,26%;-0,27%;-0,17%
25/07/2018;1,34%;-0,27%;0,03%;0,07%;-0,81%
24/07/2018;1,49%;-0,09%;-1,18%;-0,10%;-1,39%
23/07/2018;-0,73%;-0,09%;0,41%;-0,09%;0,63%
20/07/2018;1,40%;-1,58%;-0,15%;0,23%;-0,30%
19/07/2018;0,16%;-0,44%;1,06%;0,11%;-1,63%
18/07/2018;-0,98%;0,11%;-0,02%;0,01%;-0,58%
17/07/2018;1,93%;-0,16%;-0,21%;0,39%;-0,65%
16/07/2018;0,08%;0,44%;0,33%;-0,34%;0,58%
13/07/2018;0,97%;-0,88%;-0,91%;0,14%;0,20%
12/07/2018;1,96%;1,24%;-1,20%;-0,55%;0,46%
11/07/2018;-0,62%;1,30%;0,32%;0,32%;-3,77%
10/07/2018;-0,20%;-0,75%;-2,71%;-0,24%;0,95%
06/07/2018;0,61%;-0,75%;0,97%;0,22%;2,24%
05/07/2018;-0,25%;1,35%;-0,51%;0,44%;-2,19%
04/07/2018;1,46%;-1,29%;0,24%;-0,22%;0,54%
03/07/2018;1,14%;1,02%;-0,43%;0,54%;0,22%
02/07/2018;0,11%;1,22%;0,47%;0,36%;-0,12%
29/06/2018;1,39%;0,42%;0,38%;0,68%;1,28%
28/06/2018;1,64%;0,31%;-0,09%;0,08%;-0,64%
27/06/2018;-1,11%;1,07%;-0,60%;0,35%;-1,55%
26/06/2018;0,64%;0,49%;-1,47%;0,38%;1,71%
25/06/2018;0,44%;-1,36%;0,18%;-0,03%;-1,46%
22/06/2018;0,81%;0,71%;0,34%;0,15%;-1,19%
21/06/2018;-2,84%;-1,25%;0,35%;0,10%;2,37%
20/06/2018;1,02%;1,28%;-0,35%;0,19%;-0,13%
19/06/2018;2,26%;-0,93%;1,29%;-0,24%;-3,71%
18/06/2018;-1,33%;0,80%;0,10%;-0,76%;2,54%
15/06/2018;-0,93%;-2,41%;0,43%;-0,58%;0,00%
14/06/2018;-0,97%;2,98%;1,69%;-0,43%;0,64%
13/06/2018;-0,87%;-0,17%;-0,10%;-0,40%;-0,25%
12/06/2018;0,62%;-0,10%;0,26%;-0,14%;-3,44%
11/06/2018;-0,87%;0,36%;-0,61%;-0,18%;2,26%
08/06/2018;-1,23%;-5,13%;1,50%;-0,86%;1,19%
07/06/2018;-2,98%;1,19%;-0,62%;-1,52%;1,55%
06/06/2018;-0,68%;2,67%;0,06%;-0,67%;-0,26%
05/06/2018;-2,49%;1,77%;-0,52%;-0,08%;-0,45%
04/06/2018;1,76%;-0,29%;1,84%;0,00%;0,13%
01/06/2018;0,63%;1,24%;0,01%;-0,11%;1,76%
30/05/2018;0,90%;0,05%;0,03%;0,48%;0,72%
29/05/2018;0,95%;0,07%;0,35%;0,87%;-0,52%
28/05/2018;-4,49%;1,95%;-2,50%;-0,99%;0,66%
25/05/2018;-1,53%;0,32%;-2,93%;-0,12%;1,27%
24/05/2018;-0,92%;0,54%;2,11%;-0,48%;-2,21%
23/05/2018;-2,26%;-0,24%;1,17%;0,10%;-0,97%
22/05/2018;1,13%;-1,46%;0,88%;-0,97%;0,85%
21/05/2018;-1,52%;-0,70%;0,03%;-0,51%;0,68%
18/05/2018;-0,65%;0,66%;0,12%;-0,63%;-0,23%
17/05/2018;-3,37%;0,62%;0,22%;-0,55%;-0,78%
16/05/2018;1,65%;0,82%;0,53%;-0,72%;2,12%
15/05/2018;-0,12%;0,42%;1,38%;-0,29%;0,67%
14/05/2018;0,01%;0,68%;0,41%;-0,09%;-0,66%
11/05/2018;-0,75%;1,75%;-0,19%;0,02%;0,33%
10/05/2018;1,89%;-0,37%;0,01%;-0,12%;0,68%
09/05/2018;1,58%;1,66%;-1,54%;-0,15%;0,35%
08/05/2018;0,29%;0,54%;-1,15%;-0,17%;-0,01%
07/05/2018;-0,49%;1,26%;1,71%;-0,61%;0,67%
04/05/2018;-0,20%;1,23%;0,19%;0,00%;0,41%
03/05/2018;-1,49%;-1,07%;0,14%;0,04%;-0,41%
02/05/2018;-1,82%;0,92%;1,82%;-0,46%;-0,80%
30/04/2018;-0,38%;0,41%;1,07%;0,49%;0,34%
27/04/2018;0,07%;-0,36%;0,42%;0,27%;1,85%
26/04/2018;1,57%;0,75%;-1,05%;0,16%;0,00%
25/04/2018;-0,50%;0,73%;0,43%;-0,47%;-0,21%
24/04/2018;-0,16%;-0,79%;0,93%;-0,18%;0,69%
23/04/2018;0,06%;1,03%;0,42%;-0,13%;-1,22%
20/04/2018;-0,32%;-0,10%;-0,50%;-0,28%;-0,61%
19/04/2018;0,06%;-0,36%;0,17%;-0,02%;0,00%
18/04/2018;2,01%;-0,81%;1,76%;-0,15%;1,37%
17/04/2018;1,48%;1,06%;0,39%;0,06%;-0,35%
16/04/2018;-1,75%;0,44%;-0,86%;-0,23%;0,35%
13/04/2018;-1,30%;0,23%;-0,18%;0,11%;0,00%
12/04/2018;0,23%;1,48%;1,08%;-0,06%;0,70%
11/04/2018;0,87%;-1,27%;0,71%;0,04%;2,47%
10/04/2018;1,44%;1,45%;0,94%;-0,24%;-1,25%
09/04/2018;-1,78%;2,11%;0,37%;-0,42%;0,43%
06/04/2018;-0,46%;-1,60%;0,39%;0,45%;1,19%
05/04/2018;1,01%;0,81%;-0,58%;-0,34%;-0,32%
04/04/2018;-0,31%;1,26%;-0,65%;0,02%;-1,43%
03/04/2018;-0,05%;1,82%;0,46%;0,22%;0,00%
02/04/2018;-0,82%;-1,85%;0,73%;-0,15%;-0,35%
29/03/2018;1,78%;0,61%;-0,57%;0,17%;-0,69%
28/03/2018;0,08%;-0,20%;-0,42%;0,17%;2,98%
27/03/2018;-1,50%;-1,05%;0,86%;0,17%;0,57%
26/03/2018;0,84%;2,64%;0,70%;0,30%;0,21%
23/03/2018;-0,46%;-2,04%;1,42%;0,22%;-0,36%
22/03/2018;-0,25%;-1,82%;-1,02%;0,24%;-0,57%
21/03/2018;0,97%;-1,29%;1,20%;-0,06%;1,05%
20/03/2018;0,30%;0,88%;0,11%;0,22%;-0,33%
19/03/2018;-1,15%;-1,00%;-0,40%;0,10%;-0,36%
16/03/2018;-0,05%;-0,38%;-0,43%;0,00%;0,70%
15/03/2018;-1,30%;0,85%;0,37%;0,18%;-0,19%
14/03/2018;-0,39%;-0,55%;0,67%;0,04%;-0,15%
13/03/2018;-0,59%;-0,49%;-0,02%;0,18%;0,67%
12/03/2018;0,61%;-0,01%;0,02%;0,23%;-0,45%
09/03/2018;1,63%;1,44%;0,34%;0,27%;0,10%
08/03/2018;-0,58%;1,11%;-0,18%;0,22%;0,40%
07/03/2018;-0,20%;0,85%;0,21%;0,07%;-1,41%
06/03/2018;-0,43%;-0,58%;0,02%;-0,03%;0,00%
05/03/2018;0,30%;0,63%;0,14%;-0,07%;0,00%
02/03/2018;0,45%;0,60%;0,84%;-0,29%;1,37%
01/03/2018;0,03%;-1,08%;0,28%;-0,33%;0,25%
28/02/2018;-1,82%;-1,17%;-0,35%;0,65%;0,11%
27/02/2018;-0,82%;-0,53%;0,34%;-0,06%;0,07%
26/02/2018;0,41%;0,80%;-0,07%;0,14%;0,00%
23/02/2018;0,70%;1,14%;0,62%;0,32%;-0,07%
22/02/2018;0,74%;-0,29%;0,22%;0,12%;-0,29%
21/02/2018;0,29%;-0,14%;-1,03%;0,10%;-0,71%
20/02/2018;1,19%;-0,22%;-0,10%;0,12%;0,72%
19/02/2018;0,32%;0,05%;-0,02%;0,10%;-0,36%
16/02/2018;0,28%;0,38%;0,53%;0,34%;0,72%
15/02/2018;0,90%;1,42%;0,20%;0,07%;0,07%
14/02/2018;3,27%;2,24%;0,10%;-0,01%;1,76%
09/02/2018;-0,78%;-1,45%;-0,20%;0,06%;-1,45%
08/02/2018;-1,49%;-2,15%;-0,56%;0,01%;0,36%
07/02/2018;-1,34%;1,20%;0,13%;-0,02%;0,51%
06/02/2018;2,48%;-0,11%;0,15%;0,01%;0,59%
05/02/2018;-2,59%;-2,19%;0,49%;-0,24%;-0,66%
02/02/2018;-1,70%;-0,28%;-0,11%;-0,14%;0,66%
01/02/2018;0,69%;-0,41%;0,54%;-0,40%;-0,37%
31/01/2018;0,51%;0,03%;-1,01%;0,31%;-1,66%
30/01/2018;-0,25%;-0,59%;-0,87%;0,12%;1,39%
29/01/2018;-0,97%;0,15%;0,39%;-0,16%;0,37%
26/01/2018;2,21%;0,95%;0,69%;0,61%;0,00%
24/01/2018;3,72%;-2,82%;-0,45%;0,24%;-0,96%
23/01/2018;-1,22%;1,60%;0,80%;-0,15%;-0,02%
22/01/2018;0,56%;0,87%;0,92%;-0,19%;0,18%
19/01/2018;0,32%;-0,34%;1,04%;0,13%;0,88%
18/01/2018;-0,28%;-0,47%;0,34%;0,10%;0,81%
17/01/2018;1,70%;0,91%;-0,12%;0,16%;-0,95%
16/01/2018;0,10%;-1,07%;0,02%;0,37%;0,37%
15/01/2018;0,51%;1,50%;0,65%;-0,05%;0,44%
12/01/2018;-0,02%;0,48%;0,20%;0,22%;-0,95%
11/01/2018;1,49%;-0,03%;-1,83%;0,14%;0,59%
10/01/2018;-0,84%;-0,71%;-0,87%;0,11%;-0,07%
09/01/2018;-0,65%;0,63%;0,99%;-0,07%;-0,22%
08/01/2018;0,39%;0,60%;-0,48%;-0,10%;0,74%
05/01/2018;0,54%;0,41%;-0,13%;-0,15%;0,22%
04/01/2018;0,84%;0,35%;-0,60%;0,04%;-0,59%
03/01/2018;0,13%;-0,02%;0,33%;0,42%;0,04%
02/01/2018;1,95%;-1,53%;0,80%;0,52%;2,07%
28/12/2017;0,43%;0,29%;-0,73%;0,43%;0,53%
27/12/2017;0,48%;0,25%;-0,32%;0,62%;0,00%
26/12/2017;0,69%;-0,96%;-0,51%;0,74%;0,23%
22/12/2017;0,07%;0,73%;0,22%;-0,15%;-1,49%
21/12/2017;2,41%;0,66%;0,12%;-0,05%;1,06%
20/12/2017;0,94%;0,12%;-0,16%;-0,24%;-0,30%
19/12/2017;-0,60%;-0,54%;0,28%;0,12%;1,14%
18/12/2017;0,70%;0,11%;-0,67%;-0,03%;1,08%
15/12/2017;0,25%;-0,08%;-0,50%;0,21%;-1,44%
14/12/2017;-0,67%;0,03%;-1,16%;-0,19%;0,38%
13/12/2017;-1,22%;0,15%;0,00%;0,04%;0,77%
12/12/2017;1,39%;0,79%;0,15%;0,00%;-0,76%
11/12/2017;0,09%;0,71%;-0,51%;-0,55%;-0,38%
08/12/2017;0,34%;0,40%;-0,03%;0,35%;-1,86%
07/12/2017;-1,07%;1,86%;0,50%;-0,42%;1,89%
06/12/2017;1,00%;-0,17%;0,41%;0,08%;0,53%
05/12/2017;-0,74%;-0,61%;0,08%;0,09%;-1,28%
04/12/2017;1,14%;0,04%;0,01%;-0,10%;0,00%
01/12/2017;0,41%;-0,43%;-0,91%;-0,34%;-0,37%
30/11/2017;-1,00%;1,69%;-0,45%;0,18%;0,30%
29/11/2017;-1,94%;0,58%;0,90%;-0,29%;-0,04%
28/11/2017;0,11%;0,44%;-0,34%;0,18%;1,25%
27/11/2017;-0,13%;0,11%;0,93%;-0,53%;-1,87%
24/11/2017;-0,44%;-1,05%;0,10%;0,11%;0,68%
23/11/2017;-0,04%;1,18%;-0,25%;0,12%;-1,04%
22/11/2017;-0,10%;-0,95%;1,66%;0,06%;-0,37%
21/11/2017;1,58%;0,43%;0,10%;0,23%;1,35%
17/11/2017;1,28%;-0,67%;-0,57%;0,12%;-0,60%
16/11/2017;2,38%;-0,67%;-0,40%;0,00%;0,75%
14/11/2017;-2,27%;1,02%;0,06%;-0,02%;-0,15%
13/11/2017;0,43%;-0,34%;1,49%;0,05%;-0,60%
10/11/2017;-1,05%;1,31%;-0,30%;-0,32%;0,37%
09/11/2017;-1,93%;-0,66%;0,04%;0,10%;0,75%
08/11/2017;2,69%;-0,47%;-0,25%;0,13%;-0,75%
07/11/2017;-2,55%;0,51%;-0,22%;-0,10%;0,00%
06/11/2017;0,53%;-1,45%;-0,58%;0,10%;0,38%
03/11/2017;0,12%;1,76%;-0,09%;-0,50%;1,45%
01/11/2017;-0,65%;0,05%;-0,07%;-0,23%;0,38%
31/10/2017;-0,66%;-0,22%;-0,53%;0,15%;-1,06%
30/10/2017;-1,55%;1,05%;-0,06%;0,32%;0,76%
27/10/2017;0,10%;-1,05%;-0,08%;0,17%;1,16%
26/10/2017;-1,01%;2,02%;-0,12%;0,09%;-1,15%
25/10/2017;0,42%;-0,85%;0,65%;0,32%;1,43%
24/10/2017;1,24%;0,58%;0,45%;0,15%;-1,79%
23/10/2017;-1,28%;0,85%;0,02%;0,18%;-0,98%
20/10/2017;0,14%;1,26%;-0,68%;-1,64%;1,76%
19/10/2017;-0,40%;-0,13%;-0,36%;-0,02%;-1,14%
18/10/2017;0,51%;0,54%;-0,21%;-0,11%;0,00%
17/10/2017;-0,90%;-0,25%;0,56%;0,01%;2,33%
16/10/2017;-0,13%;0,84%;-0,10%;-0,15%;1,49%
13/10/2017;0,43%;-0,70%;0,68%;-0,12%;-1,47%
11/10/2017;-0,31%;-0,22%;-0,77%;0,37%;-1,53%
10/10/2017;1,55%;0,11%;1,10%;-0,08%;0,00%
09/10/2017;-0,43%;0,82%;0,18%;0,08%;-1,58%
