Data;Abertura;Máxima;Mínima;Fechamento;Compra;Venda
25/11/2020;109786,37;110595,81;109315,21;110132,53;0;1
24/11/2020;107377,95;109956,18;107360,58;109786,3;0;1
23/11/2020;106050,48;107495,35;106050,48;107378,92;0;1
20/11/2020;106669,9;106763,96;105680,28;106042,48;0;2
19/11/2020;106117,26;106972,88;105545,37;106669,9;0;2
18/11/2020;107245,54;107467,25;106043,35;106119,09;0;2
17/11/2020;106430,04;107810,31;105846,62;107248,63;0;1
16/11/2020;104728,51;106518,16;104728,51;106429,92;0;1
13/11/2020;102508,77;104725,79;102508,77;104723;0;2
12/11/2020;104810,06;105018,66;102033,75;102507,01;0;2
11/11/2020;105066,96;105462,33;104143,47;104808,83;0;2
10/11/2020;103516,37;105758,29;103452,64;105066,96;0;2
09/11/2020;100953,95;105146,56;100953,95;103515,16;0;2
06/11/2020;100750,59;101104,29;99837,04;100925,11;0;2
05/11/2020;97872,82;100921,63;97872,27;100751,4;0;2
04/11/2020;95991,57;98296,35;95987,42;97866,81;0;2
03/11/2020;93967,64;96350,23;93967,64;95979,71;0;2
30/10/2020;96578,75;96578,75;93559,19;93952,4;0;2
29/10/2020;95368,43;96688,25;93386,55;96582,16;1;2
28/10/2020;99597,75;99597,75;95368,76;95368,76;1;2
27/10/2020;101017,38;101660,37;99413,93;99605,54;1;2
26/10/2020;101259,86;101783,79;99761,84;101016,96;1;2
23/10/2020;101917,73;102217,62;101188,38;101259,75;2;2
22/10/2020;100552,99;102020,44;100456,83;101917,73;2;1
21/10/2020;100541,25;101585,92;100148,97;100552,44;2;1
20/10/2020;98663,89;100721,83;98663,89;100539,83;2;1
19/10/2020;98310,35;99917,22;98309,8;98657,65;2;1
16/10/2020;99054,06;99171,96;98309,12;98309,12;2;1
15/10/2020;99328,02;99485,5;97778,26;99054,06;2;0
14/10/2020;98501,58;99570,8;98501,44;99334,43;2;0
13/10/2020;97483,49;98998,47;97336,3;98502,82;2;0
09/10/2020;97924,18;98641,91;97161,37;97483,31;2;0
08/10/2020;95529,57;97937,72;95529,57;97919,73;2;0
07/10/2020;95615,82;96379,57;94880,65;95526,26;2;0
06/10/2020;96091,15;97404,54;95211,05;95615,03;2;0
05/10/2020;94019,37;96414,17;93984,23;96089,19;2;0
02/10/2020;95474,63;95995,7;93896,61;94015,68;2;0
01/10/2020;94604,15;95486,33;93599,05;95478,52;2;0
30/09/2020;93585,84;95340,12;93584,12;94603,38;1;0
29/09/2020;94664,72;95504,78;93408,17;93580,35;1;0
28/09/2020;97005,38;98313,73;94370,6;94666,37;1;0
25/09/2020;97011,44;97011,8;95631,74;96999,38;1;0
24/09/2020;95735,09;97954,63;95652,56;97012,07;0;0
23/09/2020;97294,37;97388,94;95728,13;95734,82;0;0
22/09/2020;96994,52;97684,16;96390,28;97293,54;0;0
21/09/2020;98282,75;98282,75;95820,34;96990,72;0;0
18/09/2020;100097,73;100101,91;98044,81;98289,71;0;0
17/09/2020;99673,77;100250,88;98561,51;100097,83;0;0
16/09/2020;100298,86;100663,36;99663,02;99675,68;0;0
15/09/2020;100277;100949,43;99646,81;100297,91;0;0
14/09/2020;98366,62;100519,8;98366,62;100274,52;0;0
11/09/2020;98839,08;99434,74;97757,9;98363,22;0;0
10/09/2020;101291,31;101536,48;98686,55;98834,59;0;0
09/09/2020;100050,43;101578,01;100050,43;101292,05;0;0
08/09/2020;101239,34;101239,34;99372,98;100050,43;0;0
04/09/2020;100733,12;101581,77;98960,5;101241,73;0;0
03/09/2020;101910,94;103225,58;99750,8;100721,36;0;0
02/09/2020;102168,42;102823,88;100871,79;101911,13;0;0
01/09/2020;99382,02;102237,93;99382,02;102167,65;0;0
31/08/2020;102141,53;102141,62;99369,15;99369,15;0;0
28/08/2020;100631,21;102347,05;100631,21;102142,93;0;0
27/08/2020;100624,98;101547,82;99856,91;100623,64;0;0
26/08/2020;102118,76;102521,38;99359,36;100627,33;0;0
25/08/2020;102292,87;102708,36;101623,31;102117,64;0;0
24/08/2020;101525,44;102514,87;101525,2;102297,95;0;0
21/08/2020;101459,55;101565,8;100412,45;101521,29;0;0
20/08/2020;100852,94;101749,1;99131,4;101467,87;0;0
19/08/2020;102072,16;102333,79;100800,41;100853,72;0;0
18/08/2020;99597,01;102247,3;99597,01;102065,35;0;0
17/08/2020;101348,15;101688,98;98513,34;99595,41;0;0
14/08/2020;100469,44;101717,34;100444,74;101353,45;0;0
13/08/2020;102118,28;103236,93;100187,06;100460,6;0;0
12/08/2020;102175,95;103116,11;100697,78;102117,79;0;0
11/08/2020;103448,75;104408,92;102174,26;102174,4;0;0
10/08/2020;102776,02;103722,49;101282,05;103444,48;0;0
07/08/2020;104116,04;104126,3;101956,5;102775,55;0;0
06/08/2020;102794,76;104523,28;102794,76;104125,64;0;0
05/08/2020;101219,98;103762,66;101219,98;102801,76;0;1
04/08/2020;102825,55;103011,5;100004,5;101215,87;0;1
03/08/2020;102912,87;103863,33;102304,26;102829,96;0;1
31/07/2020;105009,99;105462,13;102642,04;102912,24;0;1
30/07/2020;105605,17;105606,79;103919,94;105008,7;0;1
29/07/2020;104111,75;105703,62;104111,75;105605,17;0;2
28/07/2020;104477,08;104662,83;103591,8;104109,07;0;2
27/07/2020;102380,85;104584,52;102380,55;104477,08;0;2
24/07/2020;102291,82;102693,74;100858,76;102381,58;0;2
23/07/2020;104291,24;104949,4;102118,54;102293,31;0;2
22/07/2020;104311,59;104979,95;103277,01;104289,57;0;2
21/07/2020;104426,49;105449,23;103732,33;104309,74;0;2
20/07/2020;102887,6;104438,58;102744,25;104426,37;0;2
17/07/2020;100554,09;103016,6;100554,09;102888,25;0;2
16/07/2020;101791,01;101792,33;100160,18;100553,27;0;2
15/07/2020;100444,28;102113,51;100444,28;101790,54;0;2
14/07/2020;98698,88;100632,06;98288,81;100440,23;0;2
13/07/2020;100027,4;100857,68;98697,06;98697,06;0;2
10/07/2020;99160,17;100100,98;98738,66;100031,83;0;2
09/07/2020;99770,32;100191,24;98860,83;99160,33;0;2
08/07/2020;97764,95;99972,78;97764,95;99769,88;0;2
07/07/2020;98937,4;98938;97272,02;97761,04;0;2
06/07/2020;96775,74;99256,85;96767,64;98937,16;0;2
03/07/2020;96236,97;96764,87;95803,32;96764,85;0;2
02/07/2020;96205,58;97864,16;96051,85;96234,96;0;2
01/07/2020;95061,62;96851,75;95061,62;96203,2;0;1
30/06/2020;95727,6;96257,3;94806,47;95055,82;0;1
29/06/2020;93836,94;95735,35;93825,27;95735,35;0;1
26/06/2020;95979,03;95979,03;93513,7;93834,49;0;1
25/06/2020;94382,05;96259,7;94151,83;95983,09;0;1
24/06/2020;95973,81;95973,81;93259,07;94377,36;0;1
23/06/2020;95343,52;97485,59;95343,52;95975,16;0;2
22/06/2020;96572,24;96870,44;94868,81;95335,96;0;2
19/06/2020;96137,89;97540,33;95874,3;96572,1;0;2
18/06/2020;95547,2;97109,54;94697,53;96125,24;0;2
17/06/2020;93531,17;96611,4;93531,17;95547,29;0;2
16/06/2020;92386,66;95215,56;92386,66;93531,17;0;2
15/06/2020;92780,35;93111,62;90147,92;92375,52;0;2
12/06/2020;94677,14;94703,26;90810,98;92795,27;0;2
10/06/2020;96747,32;97645,85;94664,81;94685,98;0;2
09/06/2020;97644,34;97644,34;95385,81;96746,55;0;1
08/06/2020;94640,43;97693,47;94635,19;97644,67;0;1
05/06/2020;93839,16;97355,75;93838,6;94637,06;0;1
04/06/2020;92992,63;94132,3;92220,8;93828,61;0;1
03/06/2020;91048,1;93710,05;91048,1;93002,14;0;1
02/06/2020;88622,49;91046,49;88622,49;91046,38;0;1
01/06/2020;87395,15;89019,37;86836,57;88620,1;0;1
29/05/2020;86951,32;87410,03;85384,29;87402,59;0;1
28/05/2020;87946,1;88090,67;86766,92;86949,09;0;2
27/05/2020;85467,5;87946,25;85467,5;87946,25;0;2
26/05/2020;85667,5;87332,53;85395,71;85468,91;0;2
25/05/2020;82197,76;85875,6;82193,33;85663,48;0;1
22/05/2020;83027,09;83027,09;81668,8;82173,21;0;1
21/05/2020;81319,73;83308,96;81317,11;83027,09;0;1
20/05/2020;80746,81;82290,49;80739,61;81319,45;0;1
19/05/2020;81196,69;82174,55;80647,02;80742,35;0;1
18/05/2020;77575,71;81420,37;77571,39;81194,29;0;1
15/05/2020;79010,59;79538,23;77426,1;77556,62;0;1
14/05/2020;77770,48;79010,81;75696,95;79010,81;0;1
13/05/2020;77876,88;78911,28;77151,98;77772,2;0;1
12/05/2020;79064,6;80344,03;77871,95;77871,95;0;1
11/05/2020;80263,42;80722,75;78993,75;79064,6;0;2
08/05/2020;78151,87;80556,62;78151,87;80263,35;0;2
07/05/2020;79072,28;80061,19;78061,44;78118,57;0;2
06/05/2020;79472,78;79996,04;78055,82;79063,68;0;2
05/05/2020;78887,12;81065,9;78886,34;79470,78;0;2
04/05/2020;80501,17;80501,65;77640,22;78876,22;0;2
30/04/2020;83169,34;83169,34;80168,06;80505,89;0;2
29/04/2020;81312,89;83598,01;81312,89;83170,8;0;1
28/04/2020;78243,32;81427,32;78243,32;81312,23;0;1
27/04/2020;75334,28;78562,71;75326,58;78238,6;0;1
24/04/2020;79666,62;79666,62;72040,82;75330,61;0;1
23/04/2020;80690,35;81933,5;78621,92;79673,3;0;1
22/04/2020;78972,83;81183,73;78972,76;80687,15;0;1
20/04/2020;78988,64;80105,99;76942,89;78972,76;0;1
17/04/2020;77817,46;79846,43;77754,45;78990,29;0;1
16/04/2020;78836,72;80167,22;77452,36;77811,85;0;1
15/04/2020;79911,33;80034,78;77545,67;78831,46;0;1
14/04/2020;78847,67;81667,81;78847,67;79918,36;0;1
13/04/2020;77681,94;78835,82;76405,36;78835,82;0;1
09/04/2020;78639,74;80427,6;77456,86;77681,94;1;1
08/04/2020;76334,79;79058,13;76115,19;78624,62;1;0
07/04/2020;74078,01;79855,48;74078,01;76358,09;1;0
06/04/2020;69555,61;75259,7;69555,61;74072,98;2;0
03/04/2020;72241,09;72241,09;67802,47;69537,56;2;0
02/04/2020;70968,53;73861;70956,84;72253,46;2;0
01/04/2020;73010,78;73010,78;69568,56;70966,7;2;0
31/03/2020;74629,42;75511,03;72385,14;73019,76;2;0
30/03/2020;73430,65;75429,74;73184,22;74639,48;2;0
27/03/2020;77707,88;77707,88;73057,12;73428,78;3;0
26/03/2020;74956,05;78846,34;74923,27;77709,66;4;0
25/03/2020;69727,12;76713,93;69359,58;74955,57;4;0
24/03/2020;63604,42;71535,44;63604,42;69729,3;4;0
23/03/2020;67067,03;67603,83;62161,38;63569,62;4;0
20/03/2020;68344,38;72247,43;66120,06;67069,36;4;0
19/03/2020;66882,8;70071,33;61690,53;68331,8;4;0
18/03/2020;74576,38;74576,38;63546,74;66894,95;4;0
17/03/2020;71177,56;77254,59;70782,5;74617,24;4;0
16/03/2020;82564,88;82564,88;70854,82;71168,05;4;0
13/03/2020;72621,49;83757,51;72621,49;82677,91;4;0
12/03/2020;85103,19;85103,19;68488,29;72582,53;3;0
11/03/2020;92202,15;92202,15;80795,5;85171,13;3;0
10/03/2020;86070,96;92230,27;86070,96;92214,47;3;0
09/03/2020;97982,08;97982,08;85879,64;86067,2;2;0
